HYPERPARAMETERS: 

mom: 0.8 
folder: 0 
lr: 0.001 
exp_replay: 20000 
batch_size: 256 
gamma: 0.9 
episodes: 1000 
neurons: 64 
eps_decay: 100000 

TRAINING: 

optimal load angle: 81.0 
episode: 46, loss: 0.31444313810706814, reward: 0.01880817863868598, eps: 0.22044903711370145 
episode: 47, loss: 0.26539568886451304, reward: 0.009991139988186256, eps: 0.2189472184848475 
episode: 48, loss: 0.287158757596597, reward: 0.08388400702987883, eps: 0.21457828431293513 
episode: 49, loss: 0.32152487728762336, reward: 0.011624173748819341, eps: 0.21346948706811175 
episode: 50, loss: 0.32675039044714954, reward: 0.015308678795108659, eps: 0.2120826433816803 
episode: 51, loss: 0.3026770920652042, reward: 0.19096990300970354, eps: 0.20037111664426766 
episode: 52, loss: 0.3507434239331847, reward: 0.25237176282370927, eps: 0.18950582399867033 
episode: 53, loss: 0.4349521192958648, reward: 0.4828307169282887, eps: 0.1794256195196639 
episode: 54, loss: 0.38666198092074855, reward: 0.03378736025553308, eps: 0.17701260702996852 
episode: 55, loss: 0.38810587011486364, reward: 0.25631470890160113, eps: 0.17164492489886685 
episode: 56, loss: 0.35901465285649425, reward: 0.1583366369342601, eps: 0.16739876050795222 
episode: 57, loss: 0.36550496973693924, reward: 0.02896515030593138, eps: 0.16593113482137617 
episode: 58, loss: 0.35124976763736854, reward: 0.009618122977345812, eps: 0.16525030744218647 
episode: 59, loss: 0.34797222540919437, reward: 0.03829603255340813, eps: 0.16361281971050953 
episode: 60, loss: 0.34189376650037395, reward: 0.010283620140216424, eps: 0.1628914061904071 
episode: 61, loss: 0.32940854636337885, reward: 0.2552480417754382, eps: 0.15558500356414395 
episode: 62, loss: 0.31354452611184586, reward: 0.01660813579162995, eps: 0.15462226102394533 
episode: 63, loss: 0.31363964118635496, reward: 0.011529301159510853, eps: 0.15390285223744557 
episode: 64, loss: 0.31244618567748716, reward: 0.008997179567533152, eps: 0.15318839028536743 
episode: 65, loss: 0.3072453032160256, reward: 0.01655345540460703, eps: 0.1522792021231097 
episode: 66, loss: 0.270877474394983, reward: 0.2739785724627215, eps: 0.14787061482583524 
episode: 67, loss: 0.28745933234117166, reward: 0.008467929544698634, eps: 0.14737469281093424 
episode: 68, loss: 0.2927072479167292, reward: 0.008251612903225177, eps: 0.14679316182508081 
episode: 69, loss: 0.2852410272927391, reward: 0.01843523002421253, eps: 0.14601902505450778 
episode: 70, loss: 0.28521871156490186, reward: 0.016520146520146252, eps: 0.14527775374686608 
episode: 71, loss: 0.2915723153826959, reward: 0.19886384129847007, eps: 0.14140190763152422 
episode: 72, loss: 0.3054209797838815, reward: 0.011197161369947282, eps: 0.14072802993764405 
episode: 73, loss: 0.3086086258827011, reward: 0.006302271978925962, eps: 0.1402430286617548 
episode: 74, loss: 0.29864896077222974, reward: 0.013143493477568817, eps: 0.1396655241906518 
episode: 75, loss: 0.2990178772383112, reward: 0.03247397428046519, eps: 0.13754092072619195 
episode: 76, loss: 0.26302963109558336, reward: 0.022958129418160673, eps: 0.1365166040181744 
episode: 77, loss: 0.25389075109864573, reward: 0.021531213191989456, eps: 0.13574573519589456 
episode: 78, loss: 0.2585842885200734, reward: 0.014866548042704434, eps: 0.13500213293125457 
episode: 79, loss: 0.260927816128147, reward: 0.05962681245543163, eps: 0.13356429616367146 
episode: 80, loss: 0.2663622851456395, reward: 0.2063439734868313, eps: 0.1309066765819613 
episode: 81, loss: 0.2790331492626398, reward: 0.00883873078181162, eps: 0.1304580837040008 
episode: 82, loss: 0.2764352336645126, reward: 0.013923199999999658, eps: 0.12995758843094576 
episode: 83, loss: 0.2770822306194947, reward: 0.007824240444298634, eps: 0.12951107733368655 
episode: 84, loss: 0.2731289202000208, reward: 0.006190320470895392, eps: 0.12906943175770058 
episode: 85, loss: 0.27696956842007436, reward: 0.0075632111251573795, eps: 0.1285469354144667 
episode: 86, loss: 0.27647688032322293, reward: 0.00940460947503148, eps: 0.12805910916343483 
episode: 87, loss: 0.27426315216005503, reward: 0.009013627514600286, eps: 0.12760690067691416 
episode: 88, loss: 0.2672969532011466, reward: 0.06564948708441906, eps: 0.12338770020827577 
episode: 89, loss: 0.25603474868226933, reward: 0.013348148148147743, eps: 0.12274908651546845 
episode: 90, loss: 0.25292550045141665, reward: 0.01138640429338062, eps: 0.12213117594272381 
episode: 91, loss: 0.25169055046997113, reward: 0.011228174015980662, eps: 0.12150063633741624 
episode: 92, loss: 0.27717767645568686, reward: 0.10118988101190393, eps: 0.11633424963038455 
episode: 93, loss: 0.23439491494824058, reward: 0.0065623437656205045, eps: 0.11154116801508149 
episode: 94, loss: 0.18087222459033667, reward: 0.022013798620138036, eps: 0.10709441776704293 
episode: 95, loss: 0.05338329576462843, reward: 0.09383619220720402, eps: 0.10360735878854854 
episode: 96, loss: 0.08950741845596269, reward: 0.07378869170449931, eps: 0.10236489109448904 
episode: 97, loss: 0.11264911310300899, reward: 0.04005073566717501, eps: 0.10060833821039958 
episode: 98, loss: 0.13801048585915834, reward: 0.022147571900046414, eps: 0.09973487262285916 
episode: 99, loss: 0.1500836208861644, reward: 0.016727559055117847, eps: 0.09940078671561428 
episode: 100, loss: 0.15646192756666355, reward: 0.020829223181256653, eps: 0.09903509908218636 
episode: 101, loss: 0.16802134338469632, reward: 0.024525480622519562, eps: 0.09865605928977347 
episode: 102, loss: 0.18062443643782958, reward: 0.04941744813867658, eps: 0.0981632532448543 
episode: 103, loss: 0.200346854448589, reward: 0.015370650529500584, eps: 0.09777757320012449 
episode: 104, loss: 0.1977911410500178, reward: 0.019217227287016164, eps: 0.09745378782030707 
episode: 105, loss: 0.20032541564026152, reward: 0.03442168674698688, eps: 0.09706672846963331 
episode: 106, loss: 0.21227468637591326, reward: 0.13886885245902011, eps: 0.09512680200499252 
episode: 107, loss: 0.2555525833762249, reward: 0.1924847515248521, eps: 0.0918660966189701 
episode: 108, loss: 0.3244964803265525, reward: 0.11473426573426931, eps: 0.08996429176278654 
episode: 109, loss: 0.3323993530094999, reward: 0.0822037796220426, eps: 0.08707661136865905 
episode: 110, loss: 0.3130920071826436, reward: 0.0074712528747112004, eps: 0.0843975846924086 
episode: 111, loss: 0.22124457955822302, reward: 0.033526647335271414, eps: 0.08191213514381683 
episode: 112, loss: 0.11290037834922048, reward: 0.008986101389860026, eps: 0.07960627551451255 
episode: 113, loss: 0.1346899681386672, reward: 0.08059873474921139, eps: 0.07904180516878999 
episode: 114, loss: 0.1549860353164188, reward: 0.037917121046891836, eps: 0.0787048572178031 
episode: 115, loss: 0.1815534585448163, reward: 0.015457735247208676, eps: 0.07852344411026013 
episode: 116, loss: 0.16240161517452853, reward: 0.008119295958278339, eps: 0.0783621738154956 
episode: 117, loss: 0.15379818981807483, reward: 0.008279605263157285, eps: 0.07820971294977205 
episode: 118, loss: 0.14200969430409655, reward: 0.007989640660407273, eps: 0.07804432655015328 
episode: 119, loss: 0.14217093304800704, reward: 0.00851173256187658, eps: 0.07787377686358721 
episode: 120, loss: 0.1250960420924886, reward: 0.0376552868658128, eps: 0.07739926941861537 
episode: 121, loss: 0.12085213797876827, reward: 0.00794640074789588, eps: 0.0772059676867218 
episode: 122, loss: 0.1216663548128099, reward: 0.005777565328233901, eps: 0.07703321646932679 
episode: 123, loss: 0.12401196610558288, reward: 0.010921843687374368, eps: 0.07690027069274166 
episode: 124, loss: 0.12981885372109675, reward: 0.008431177446102217, eps: 0.07676235804053012 
episode: 125, loss: 0.12775552038403365, reward: 0.007969798657717528, eps: 0.07663447287500483 
episode: 126, loss: 0.12470447427789656, reward: 0.010127367733507179, eps: 0.0764854718209139 
episode: 127, loss: 0.12660955071216978, reward: 0.008376096135108181, eps: 0.0763328273612445 
episode: 128, loss: 0.13146527030977176, reward: 0.008047633970541495, eps: 0.07615175626612905 
episode: 129, loss: 0.13724417848066545, reward: 0.03656081946222791, eps: 0.07578715112551576 
episode: 130, loss: 0.14852558747502684, reward: 0.038600508905852586, eps: 0.07532156361419416 
episode: 131, loss: 0.15936391842491499, reward: 0.008296500920809684, eps: 0.07513060307518854 
episode: 132, loss: 0.1646878968075771, reward: 0.05089930978481664, eps: 0.07452851576438364 
episode: 133, loss: 0.20170395304537836, reward: 0.18733426657334729, eps: 0.07275617072971416 
episode: 134, loss: 0.2837287694363622, reward: 0.14959362465696066, eps: 0.07122344250906269 
episode: 135, loss: 0.3006956988785839, reward: 0.09206599897278228, eps: 0.07013050546727756 
episode: 136, loss: 0.31080120574711106, reward: 0.007929674663160744, eps: 0.07002169327506157 
episode: 137, loss: 0.3112086802623789, reward: 0.006153344208808517, eps: 0.06990908876819146 
episode: 138, loss: 0.3079059093569514, reward: 0.007766199934874013, eps: 0.06979592977173049 
episode: 139, loss: 0.2843920723753727, reward: 0.006893890675240524, eps: 0.06967573891205901 
episode: 140, loss: 0.28428262137295157, reward: 0.006542536115569187, eps: 0.06955530000097067 
episode: 141, loss: 0.26736655937090237, reward: 0.007845215157353253, eps: 0.06943579267614133 
episode: 142, loss: 0.27163920067474506, reward: 0.00469490989566803, eps: 0.06930755267137746 
episode: 143, loss: 0.27451726672533594, reward: 0.007524440239671378, eps: 0.06917862446028498 
episode: 144, loss: 0.26644769136275764, reward: 0.07401938683498677, eps: 0.06881108548440375 
episode: 145, loss: 0.25495288155864015, reward: 0.0063795295613471, eps: 0.06869014443719379 
episode: 146, loss: 0.2501662439561075, reward: 0.03738144329896898, eps: 0.06843417630201327 
episode: 147, loss: 0.231491679322796, reward: 0.1145695478953772, eps: 0.0678407711030761 
episode: 148, loss: 0.22437823569727322, reward: 0.009120879120878757, eps: 0.06770303952626196 
episode: 149, loss: 0.22227298834282366, reward: 0.08025074626865948, eps: 0.06726180659223072 
episode: 150, loss: 0.2232007897701584, reward: 0.010124494242141022, eps: 0.06713933903117923 
episode: 151, loss: 0.21934899173404587, reward: 0.07629569783882216, eps: 0.06672452741621374 
episode: 152, loss: 0.23281646014330012, reward: 0.07367942894224752, eps: 0.06637337188133981 
episode: 153, loss: 0.24654647812557143, reward: 0.06299361745933864, eps: 0.06599212397504248 
episode: 154, loss: 0.26367456543740336, reward: 0.08593014128728572, eps: 0.06558246665011198 
episode: 155, loss: 0.27307333612166246, reward: 0.1132008412197709, eps: 0.06523516662681753 
episode: 156, loss: 0.26640457419504415, reward: 0.0925866160417673, eps: 0.06497641079355687 
episode: 157, loss: 0.2818427057349762, reward: 0.12324831427734191, eps: 0.06434306212213864 
episode: 158, loss: 0.29316179666381614, reward: 0.1227059553349914, eps: 0.06356748809491661 
episode: 159, loss: 0.2918606247310749, reward: 0.06395634379263394, eps: 0.06331253868637715 
episode: 160, loss: 0.2939905435008896, reward: 0.006478405315613932, eps: 0.06320514266409485 
episode: 161, loss: 0.2822467940855072, reward: 0.007282229965156147, eps: 0.06311880044034679 
episode: 162, loss: 0.2779325318129821, reward: 0.008661697990926144, eps: 0.06304227949975004 
episode: 163, loss: 0.2852515120586178, reward: 0.10775069981887282, eps: 0.06258463152788409 
episode: 164, loss: 0.28505207889095213, reward: 0.15730697268305274, eps: 0.061909261199370874 
episode: 165, loss: 0.2846144388230423, reward: 0.09873258813413834, eps: 0.061521056365806015 
episode: 166, loss: 0.2769350477196958, reward: 0.12441755824418, eps: 0.060688584999000636 
episode: 167, loss: 0.2806606073068773, reward: 0.08334413109756193, eps: 0.06039896570213993 
episode: 168, loss: 0.2727924734009654, reward: 0.0030108946847139345, eps: 0.060344203861714005 
episode: 169, loss: 0.27511590624384386, reward: 0.007862423657987151, eps: 0.06028129628134348 
episode: 170, loss: 0.27219485222656287, reward: 0.08524727577535672, eps: 0.06005043934514465 
episode: 171, loss: 0.2711735998589122, reward: 0.005243043915520691, eps: 0.0600021127880654 
