HYPERPARAMETERS: 

gamma: 0.9 
batch_size: 256 
exp_replay: 20000 
mom: 0.8 
lr: 0.001 
eps_decay: 100000 
episodes: 1000 
folder: 9 
neurons: 128 

TRAINING: 

optimal load angle: 81.0 
episode: 0, loss: 0.00013156054330598917, reward: -0.010000000000001426, eps: 0.838589849238333 
episode: 1, loss: 2.6406424021677384e-06, reward: -0.010000000000001426, eps: 0.781609096015679 
episode: 2, loss: 3.412937678535293e-07, reward: -0.010000000000001426, eps: 0.7287455733672671 
episode: 3, loss: 3.3207066747017943e-07, reward: -0.010000000000001426, eps: 0.6797017845658209 
episode: 4, loss: 4.4789274045389214e-07, reward: -0.010000000000001426, eps: 0.634201728960406 
episode: 5, loss: 4.157187284322803e-07, reward: -0.010000000000001426, eps: 0.5919893487448954 
episode: 6, loss: 3.6086525007666347e-07, reward: -0.010000000000001426, eps: 0.5528270879575311 
episode: 7, loss: 2.800271789327026e-07, reward: -0.010000000000001426, eps: 0.5164945556021538 
episode: 8, loss: 2.7638743721231677e-07, reward: -0.010000000000001426, eps: 0.48278728536763116 
episode: 9, loss: 2.489626395610954e-07, reward: -0.010000000000001426, eps: 0.45151558496563643 
episode: 10, loss: 2.320881988664884e-07, reward: -0.010000000000001426, eps: 0.4225034686112678 
episode: 11, loss: 2.2884583980505032e-07, reward: -0.010000000000001426, eps: 0.3955876666388963 
episode: 12, loss: 2.2133003417429556e-07, reward: -0.010000000000001426, eps: 0.37061670667971935 
episode: 13, loss: 2.09412526060541e-07, reward: -0.010000000000001426, eps: 0.34745006123022193 
episode: 14, loss: 1.9930507038522017e-07, reward: -0.010000000000001426, eps: 0.3259573568143676 
episode: 15, loss: 2.0439729473062085e-07, reward: -0.010000000000001426, eps: 0.3060176402889739 
episode: 16, loss: 2.15223824495685e-07, reward: -0.010000000000001426, eps: 0.28751869816330194 
episode: 17, loss: 2.2261684552254874e-07, reward: -0.010000000000001426, eps: 0.270356425102241 
episode: 18, loss: 2.504764531473511e-07, reward: -0.010098990100991377, eps: 0.25443423805924975 
episode: 19, loss: 2.489788403347558e-07, reward: -0.010000000000001426, eps: 0.23966253274200972 
episode: 20, loss: 2.6264541264445736e-07, reward: -0.010000000000001426, eps: 0.22595817935197537 
episode: 21, loss: 2.1120267477955507e-07, reward: -0.010000000000001426, eps: 0.2132440547600264 
episode: 22, loss: 1.709458897684821e-07, reward: -0.010000000000001426, eps: 0.20144860848547608 
episode: 23, loss: 1.5588488946547165e-07, reward: -0.010000000000001426, eps: 0.19050546003592367 
episode: 24, loss: 1.6292298125778076e-07, reward: -0.010000000000001426, eps: 0.180353025341925 
episode: 25, loss: 1.863080243677402e-07, reward: -0.010000000000001426, eps: 0.17093417018419169 
episode: 26, loss: 1.8357176226206652e-07, reward: -0.010000000000001426, eps: 0.16219588866293255 
episode: 27, loss: 1.6278417513010496e-07, reward: -0.010000000000001426, eps: 0.1540890048998792 
episode: 28, loss: 1.2561071992945943e-07, reward: -0.010000000000001426, eps: 0.14656789629428374 
