HYPERPARAMETERS: 

eps_decay: 500000 
lr: 0.001 
gamma: 0.9 
mom: 0.8 
folder: 12 
episodes: 1000 
exp_replay: 20000 
neurons: 64 
batch_size: 256 

TRAINING: 

optimal load angle: 81.0 
episode: 0, loss: 0.0008266291412989013, reward: -0.010000000000001426, eps: 0.8873468233545754 
episode: 1, loss: 2.7509926437233207e-05, reward: -0.010000000000001426, eps: 0.8748803532752888 
episode: 2, loss: 2.993371165317511e-06, reward: -0.010000000000001426, eps: 0.8625994847554792 
episode: 3, loss: 3.838579607948933e-07, reward: -0.010000000000001426, eps: 0.8505014545479195 
episode: 4, loss: 1.3273755193262856e-07, reward: -0.010000000000001426, eps: 0.8385835405447739 
episode: 5, loss: 1.0641489982409892e-07, reward: -0.010000000000001426, eps: 0.8268430611651126 
episode: 6, loss: 1.0779254218416381e-07, reward: -0.010000000000001426, eps: 0.8152773747515448 
episode: 7, loss: 1.0026353834180679e-07, reward: -0.010000000000001426, eps: 0.8038838789758341 
episode: 8, loss: 9.924802192647762e-08, reward: -0.010000000000001426, eps: 0.7926600102533645 
episode: 9, loss: 9.948529316951567e-08, reward: -0.010000000000001426, eps: 0.7816032431663223 
episode: 10, loss: 9.808199270487267e-08, reward: -0.010000000000001426, eps: 0.7707110898954669 
episode: 11, loss: 9.369183638893277e-08, reward: -0.010000000000001426, eps: 0.7599810996603606 
episode: 12, loss: 9.368575338575184e-08, reward: -0.010000000000001426, eps: 0.7494108581679332 
episode: 13, loss: 9.437746709105302e-08, reward: -0.010000000000001426, eps: 0.7389979870692552 
episode: 14, loss: 9.557016069452269e-08, reward: -0.010000000000001426, eps: 0.7287401434244 
episode: 15, loss: 9.27549752502094e-08, reward: -0.010000000000001426, eps: 0.7186350191752715 
episode: 16, loss: 9.092912607661506e-08, reward: -0.010000000000001426, eps: 0.7086803406262827 
episode: 17, loss: 9.151467782231438e-08, reward: -0.010000000000001426, eps: 0.6988738679327633 
episode: 18, loss: 9.33402795297387e-08, reward: -0.010000000000001426, eps: 0.689213394596986 
episode: 19, loss: 9.090634348186399e-08, reward: -0.010000000000001426, eps: 0.6796967469716948 
episode: 20, loss: 8.874781596566378e-08, reward: -0.010000000000001426, eps: 0.6703217837710251 
episode: 21, loss: 8.672262334301246e-08, reward: -0.010000000000001426, eps: 0.6610863955887063 
episode: 22, loss: 8.646549098505528e-08, reward: -0.010000000000001426, eps: 0.6519885044234349 
episode: 23, loss: 8.432348533131424e-08, reward: -0.010000000000001426, eps: 0.6430260632113168 
episode: 24, loss: 8.358138449073743e-08, reward: -0.010000000000001426, eps: 0.6341970553652687 
episode: 25, loss: 8.289637754617047e-08, reward: -0.010000000000001426, eps: 0.6254994943212777 
episode: 26, loss: 8.277187169814989e-08, reward: -0.010000000000001426, eps: 0.6169314230914156 
episode: 27, loss: 8.167952811949591e-08, reward: -0.010000000000001426, eps: 0.608490913823509 
episode: 28, loss: 8.061648058799307e-08, reward: -0.010000000000001426, eps: 0.6001760673673638 
episode: 29, loss: 7.920947675272876e-08, reward: -0.010000000000001426, eps: 0.591985012847449 
episode: 30, loss: 7.9579160493869e-08, reward: -0.010000000000001426, eps: 0.5839159072419413 
episode: 31, loss: 7.940407982633252e-08, reward: -0.010000000000001426, eps: 0.5759669349680377 
episode: 32, loss: 7.792696171594069e-08, reward: -0.010000000000001426, eps: 0.5681363074734416 
episode: 33, loss: 7.647761325329961e-08, reward: -0.010000000000001426, eps: 0.5604222628339309 
episode: 34, loss: 7.619798452583388e-08, reward: -0.010000000000001426, eps: 0.5528230653569179 
episode: 35, loss: 7.590668257339333e-08, reward: -0.010000000000001426, eps: 0.5453370051909109 
episode: 36, loss: 7.510644876734403e-08, reward: -0.010000000000001426, eps: 0.5379623979407906 
episode: 37, loss: 7.414240375554102e-08, reward: -0.010098990100991377, eps: 0.5306975842888138 
episode: 38, loss: 7.38316334966104e-08, reward: -0.010000000000001426, eps: 0.52354092962126 
episode: 39, loss: 7.356104776718301e-08, reward: -0.010000000000001426, eps: 0.5164908236606368 
episode: 40, loss: 7.374496077115268e-08, reward: -0.010000000000001426, eps: 0.5095456801033602 
episode: 41, loss: 7.274679516077013e-08, reward: -0.010000000000001426, eps: 0.5027039362628297 
episode: 42, loss: 7.320769551441588e-08, reward: -0.010000000000001426, eps: 0.49596405271781746 
episode: 43, loss: 7.39692224697663e-08, reward: -0.010000000000001426, eps: 0.4893245129660916 
episode: 44, loss: 7.315183551696745e-08, reward: -0.010000000000001426, eps: 0.4827838230831974 
episode: 45, loss: 7.128532914948871e-08, reward: -0.010000000000001426, eps: 0.4763405113863172 
episode: 46, loss: 6.93781043550574e-08, reward: -0.010000000000001426, eps: 0.4699931281031366 
episode: 47, loss: 6.831506060255346e-08, reward: -0.010000000000001426, eps: 0.4637402450456385 
episode: 48, loss: 6.848349376766787e-08, reward: -0.010000000000001426, eps: 0.45758045528875535 
episode: 49, loss: 6.708336130658613e-08, reward: -0.010000000000001426, eps: 0.45151237285380513 
episode: 50, loss: 6.716916300476596e-08, reward: -0.010000000000001426, eps: 0.44553463239664015 
episode: 51, loss: 6.827826985527801e-08, reward: -0.010000000000001426, eps: 0.4396458889004385 
episode: 52, loss: 6.758035846849494e-08, reward: -0.010000000000001426, eps: 0.43384481737307046 
episode: 53, loss: 6.652067472878895e-08, reward: -0.010098990100991377, eps: 0.42813011254896877 
episode: 54, loss: 6.613286314550007e-08, reward: -0.010000000000001426, eps: 0.422500488595439 
episode: 55, loss: 6.470738267231343e-08, reward: -0.010098990100991377, eps: 0.4169546788233415 
