HYPERPARAMETERS: 

exp_replay: 20000 
folder: 3 
eps_decay: 100000 
lr: 0.01 
neurons: 128 
batch_size: 256 
episodes: 1000 
gamma: 0.9 
mom: 0.8 

TRAINING: 

optimal load angle: 81.0 
episode: 0, loss: 0.005790630291359981, reward: -0.005455454454554459, eps: 0.838589849238333 
episode: 1, loss: 0.002360569856483527, reward: -0.010000000000001426, eps: 0.781609096015679 
episode: 2, loss: 0.0011758401040243003, reward: -0.010000000000001426, eps: 0.7287455733672671 
episode: 3, loss: 5.310993186383169e-07, reward: -0.010000000000001426, eps: 0.6797017845658209 
episode: 4, loss: 4.5862572612180263e-07, reward: -0.010000000000001426, eps: 0.634201728960406 
episode: 5, loss: 4.1371704140168456e-07, reward: -0.010000000000001426, eps: 0.5919893487448954 
episode: 6, loss: 3.7826050485463917e-07, reward: -0.010000000000001426, eps: 0.5528270879575311 
episode: 7, loss: 3.6032858029573344e-07, reward: -0.010000000000001426, eps: 0.5164945556021538 
episode: 8, loss: 3.6254873529173084e-07, reward: -0.010000000000001426, eps: 0.48278728536763116 
episode: 9, loss: 3.7445980907831733e-07, reward: -0.010000000000001426, eps: 0.45151558496563643 
episode: 10, loss: 6.291263877849396e-05, reward: -0.0071722827717242395, eps: 0.4225034686112678 
episode: 11, loss: 0.0007148861843925691, reward: -0.010000000000001426, eps: 0.3955876666388963 
episode: 12, loss: 0.0007005683040745106, reward: -0.010000000000001426, eps: 0.37061670667971935 
episode: 13, loss: 0.0004756531218454989, reward: -0.010000000000001426, eps: 0.34745006123022193 
episode: 14, loss: 1.1608164875860152e-06, reward: -0.010000000000001426, eps: 0.3259573568143676 
episode: 15, loss: 6.660216091588727e-06, reward: -0.009798020197981627, eps: 0.3060176402889739 
episode: 16, loss: 6.913328652686094e-05, reward: -0.009899010098991455, eps: 0.28751869816330194 
episode: 17, loss: 7.675504350812479e-05, reward: -0.010000000000001426, eps: 0.270356425102241 
episode: 18, loss: 5.666176227537362e-05, reward: -0.010000000000001426, eps: 0.25443423805924975 
episode: 19, loss: 7.584909776972343e-07, reward: -0.010000000000001426, eps: 0.23966253274200972 
episode: 20, loss: 0.0006724931645300728, reward: -0.0038396160383959974, eps: 0.22595817935197537 
episode: 21, loss: 0.0015589455484038318, reward: -0.010000000000001426, eps: 0.2132440547600264 
episode: 22, loss: 0.0015868325089911223, reward: -0.010000000000001426, eps: 0.20144860848547608 
episode: 23, loss: 0.000528788441143918, reward: -0.010000000000001426, eps: 0.19050546003592367 
episode: 24, loss: 9.800134262143274e-06, reward: -0.010000000000001426, eps: 0.180353025341925 
episode: 25, loss: 1.6462369748618644e-05, reward: -0.009899010098991455, eps: 0.17093417018419169 
episode: 26, loss: 3.422065239883772e-05, reward: -0.010000000000001426, eps: 0.16219588866293255 
episode: 27, loss: 3.5540870412828085e-05, reward: -0.010000000000001426, eps: 0.1540890048998792 
episode: 28, loss: 1.0257594349433456e-05, reward: -0.010000000000001426, eps: 0.14656789629428374 
episode: 29, loss: 1.836247976097984e-06, reward: -0.010000000000001426, eps: 0.13959023677547294 
episode: 30, loss: 1.527302141821423e-06, reward: -0.010000000000001426, eps: 0.13311675860707778 
episode: 31, loss: 1.3821585443636461e-06, reward: -0.010000000000001426, eps: 0.1271110314024591 
episode: 32, loss: 1.2563350993599326e-06, reward: -0.010000000000001426, eps: 0.12153925710770794 
